full_name,html_url,description,fork,url,events_url,assignees_url,branches_url,tags_url,languages_url,stargazers_url,contributors_url,subscribers_url,subscription_url,merges_url,downloads_url,deployments_url,created_at,updated_at,pushed_at,size,stargazers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,web_commit_signoff_required,topics,forks,open_issues,watchers,default_branch,network_count,subscribers_count,organization/login,organization/id,organization/node_id,organization/avatar_url,organization/gravatar_id,organization/url,organization/html_url,organization/followers_url,organization/following_url,organization/gists_url,organization/starred_url,organization/subscriptions_url,organization/organizations_url,organization/repos_url,organization/events_url,organization/received_events_url,organization/type,organization/user_view_type,organization/site_admin,message,documentation_url,status,commits_count,contr_count
tolgraven/tolgrAVen,https://github.com/tolgraven/tolgrAVen,Code for my website at https://tolgraven.se,False,https://api.github.com/repos/tolgraven/tolgrAVen,https://api.github.com/repos/tolgraven/tolgrAVen/events,https://api.github.com/repos/tolgraven/tolgrAVen/assignees{/user},https://api.github.com/repos/tolgraven/tolgrAVen/branches{/branch},https://api.github.com/repos/tolgraven/tolgrAVen/tags,https://api.github.com/repos/tolgraven/tolgrAVen/languages,https://api.github.com/repos/tolgraven/tolgrAVen/stargazers,https://api.github.com/repos/tolgraven/tolgrAVen/contributors,https://api.github.com/repos/tolgraven/tolgrAVen/subscribers,https://api.github.com/repos/tolgraven/tolgrAVen/subscription,https://api.github.com/repos/tolgraven/tolgrAVen/merges,https://api.github.com/repos/tolgraven/tolgrAVen/downloads,https://api.github.com/repos/tolgraven/tolgrAVen/deployments,2020-09-26T21:41:47Z,2025-11-11T09:27:46Z,2025-11-11T09:27:42Z,36679.0,1.0,Clojure,True,True,True,True,False,False,0.0,,False,False,31.0,False,[],0.0,31.0,1.0,master,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1309.0,1
dwp/retirement-maintain,https://github.com/dwp/retirement-maintain,,False,https://api.github.com/repos/dwp/retirement-maintain,https://api.github.com/repos/dwp/retirement-maintain/events,https://api.github.com/repos/dwp/retirement-maintain/assignees{/user},https://api.github.com/repos/dwp/retirement-maintain/branches{/branch},https://api.github.com/repos/dwp/retirement-maintain/tags,https://api.github.com/repos/dwp/retirement-maintain/languages,https://api.github.com/repos/dwp/retirement-maintain/stargazers,https://api.github.com/repos/dwp/retirement-maintain/contributors,https://api.github.com/repos/dwp/retirement-maintain/subscribers,https://api.github.com/repos/dwp/retirement-maintain/subscription,https://api.github.com/repos/dwp/retirement-maintain/merges,https://api.github.com/repos/dwp/retirement-maintain/downloads,https://api.github.com/repos/dwp/retirement-maintain/deployments,2023-11-21T14:39:26Z,2025-09-20T11:37:24Z,2025-09-20T11:37:20Z,25925.0,1.0,HTML,True,True,True,True,False,False,1.0,,False,False,1.0,True,[],1.0,1.0,1.0,main,1.0,2.0,dwp,1823232.0,MDEyOk9yZ2FuaXphdGlvbjE4MjMyMzI=,https://avatars.githubusercontent.com/u/1823232?v=4,,https://api.github.com/users/dwp,https://github.com/dwp,https://api.github.com/users/dwp/followers,https://api.github.com/users/dwp/following{/other_user},https://api.github.com/users/dwp/gists{/gist_id},https://api.github.com/users/dwp/starred{/owner}{/repo},https://api.github.com/users/dwp/subscriptions,https://api.github.com/users/dwp/orgs,https://api.github.com/users/dwp/repos,https://api.github.com/users/dwp/events{/privacy},https://api.github.com/users/dwp/received_events,Organization,public,False,,,,7965.0,30
Eddayy/Eddayy.github.io,https://github.com/Eddayy/Eddayy.github.io,My personal website,False,https://api.github.com/repos/Eddayy/Eddayy.github.io,https://api.github.com/repos/Eddayy/Eddayy.github.io/events,https://api.github.com/repos/Eddayy/Eddayy.github.io/assignees{/user},https://api.github.com/repos/Eddayy/Eddayy.github.io/branches{/branch},https://api.github.com/repos/Eddayy/Eddayy.github.io/tags,https://api.github.com/repos/Eddayy/Eddayy.github.io/languages,https://api.github.com/repos/Eddayy/Eddayy.github.io/stargazers,https://api.github.com/repos/Eddayy/Eddayy.github.io/contributors,https://api.github.com/repos/Eddayy/Eddayy.github.io/subscribers,https://api.github.com/repos/Eddayy/Eddayy.github.io/subscription,https://api.github.com/repos/Eddayy/Eddayy.github.io/merges,https://api.github.com/repos/Eddayy/Eddayy.github.io/downloads,https://api.github.com/repos/Eddayy/Eddayy.github.io/deployments,2018-12-19T01:37:29Z,2025-08-25T06:44:46Z,2025-10-21T10:26:20Z,20252.0,1.0,JavaScript,True,True,True,True,True,False,0.0,,False,False,14.0,False,"['bulma', 'firebase', 'gatsby', 'gatsbyjs', 'github-pages', 'react', 'seo']",0.0,14.0,1.0,development,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,278.0,4
AndriySikora/ionic2,https://github.com/AndriySikora/ionic2,Ionic2 app,False,https://api.github.com/repos/AndriySikora/ionic2,https://api.github.com/repos/AndriySikora/ionic2/events,https://api.github.com/repos/AndriySikora/ionic2/assignees{/user},https://api.github.com/repos/AndriySikora/ionic2/branches{/branch},https://api.github.com/repos/AndriySikora/ionic2/tags,https://api.github.com/repos/AndriySikora/ionic2/languages,https://api.github.com/repos/AndriySikora/ionic2/stargazers,https://api.github.com/repos/AndriySikora/ionic2/contributors,https://api.github.com/repos/AndriySikora/ionic2/subscribers,https://api.github.com/repos/AndriySikora/ionic2/subscription,https://api.github.com/repos/AndriySikora/ionic2/merges,https://api.github.com/repos/AndriySikora/ionic2/downloads,https://api.github.com/repos/AndriySikora/ionic2/deployments,2017-02-15T14:53:28Z,2025-09-24T09:57:25Z,2025-09-24T09:59:57Z,1669.0,0.0,TypeScript,True,True,True,True,False,False,0.0,,False,False,11.0,False,"['ionic2', 'self-education']",0.0,11.0,0.0,master,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,14.0,2
sasmi825/portfolio-website,https://github.com/sasmi825/portfolio-website,My Portfolio,False,https://api.github.com/repos/sasmi825/portfolio-website,https://api.github.com/repos/sasmi825/portfolio-website/events,https://api.github.com/repos/sasmi825/portfolio-website/assignees{/user},https://api.github.com/repos/sasmi825/portfolio-website/branches{/branch},https://api.github.com/repos/sasmi825/portfolio-website/tags,https://api.github.com/repos/sasmi825/portfolio-website/languages,https://api.github.com/repos/sasmi825/portfolio-website/stargazers,https://api.github.com/repos/sasmi825/portfolio-website/contributors,https://api.github.com/repos/sasmi825/portfolio-website/subscribers,https://api.github.com/repos/sasmi825/portfolio-website/subscription,https://api.github.com/repos/sasmi825/portfolio-website/merges,https://api.github.com/repos/sasmi825/portfolio-website/downloads,https://api.github.com/repos/sasmi825/portfolio-website/deployments,2025-04-22T18:59:45Z,2025-11-06T02:27:10Z,2025-11-06T02:27:06Z,7550.0,0.0,TypeScript,True,True,True,True,True,False,0.0,,False,False,0.0,False,[],0.0,0.0,0.0,main,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,18.0,1
Homebrew/homebrew-core,https://github.com/Homebrew/homebrew-core,🍻 Default formulae for the missing package manager for macOS (or Linux),False,https://api.github.com/repos/Homebrew/homebrew-core,https://api.github.com/repos/Homebrew/homebrew-core/events,https://api.github.com/repos/Homebrew/homebrew-core/assignees{/user},https://api.github.com/repos/Homebrew/homebrew-core/branches{/branch},https://api.github.com/repos/Homebrew/homebrew-core/tags,https://api.github.com/repos/Homebrew/homebrew-core/languages,https://api.github.com/repos/Homebrew/homebrew-core/stargazers,https://api.github.com/repos/Homebrew/homebrew-core/contributors,https://api.github.com/repos/Homebrew/homebrew-core/subscribers,https://api.github.com/repos/Homebrew/homebrew-core/subscription,https://api.github.com/repos/Homebrew/homebrew-core/merges,https://api.github.com/repos/Homebrew/homebrew-core/downloads,https://api.github.com/repos/Homebrew/homebrew-core/deployments,2016-03-01T06:58:36Z,2025-11-11T15:31:00Z,2025-11-11T16:00:58Z,1044120.0,14796.0,Ruby,True,False,True,False,False,False,13189.0,,False,False,79.0,False,"['core', 'formulae', 'hacktoberfest', 'homebrew', 'ruby', 'tap']",13189.0,79.0,14796.0,main,13189.0,296.0,Homebrew,1503512.0,MDEyOk9yZ2FuaXphdGlvbjE1MDM1MTI=,https://avatars.githubusercontent.com/u/1503512?v=4,,https://api.github.com/users/Homebrew,https://github.com/Homebrew,https://api.github.com/users/Homebrew/followers,https://api.github.com/users/Homebrew/following{/other_user},https://api.github.com/users/Homebrew/gists{/gist_id},https://api.github.com/users/Homebrew/starred{/owner}{/repo},https://api.github.com/users/Homebrew/subscriptions,https://api.github.com/users/Homebrew/orgs,https://api.github.com/users/Homebrew/repos,https://api.github.com/users/Homebrew/events{/privacy},https://api.github.com/users/Homebrew/received_events,Organization,public,False,,,,716191.0,30
mnugumanova/ztake.org,https://github.com/mnugumanova/ztake.org,,False,https://api.github.com/repos/mnugumanova/ztake.org,https://api.github.com/repos/mnugumanova/ztake.org/events,https://api.github.com/repos/mnugumanova/ztake.org/assignees{/user},https://api.github.com/repos/mnugumanova/ztake.org/branches{/branch},https://api.github.com/repos/mnugumanova/ztake.org/tags,https://api.github.com/repos/mnugumanova/ztake.org/languages,https://api.github.com/repos/mnugumanova/ztake.org/stargazers,https://api.github.com/repos/mnugumanova/ztake.org/contributors,https://api.github.com/repos/mnugumanova/ztake.org/subscribers,https://api.github.com/repos/mnugumanova/ztake.org/subscription,https://api.github.com/repos/mnugumanova/ztake.org/merges,https://api.github.com/repos/mnugumanova/ztake.org/downloads,https://api.github.com/repos/mnugumanova/ztake.org/deployments,2019-02-26T16:46:21Z,2025-09-13T02:34:35Z,2025-09-13T02:35:17Z,1895.0,0.0,Vue,True,True,True,True,True,False,0.0,,False,False,2.0,False,[],0.0,2.0,0.0,master,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,184.0,5
nalmeida/modesto,https://github.com/nalmeida/modesto,"Um framework CSS simples, para estilizar minimamente um conteúdo tipo ""texto"" sem precisar adicionar nenhuma classe aos elementos nativos.",False,https://api.github.com/repos/nalmeida/modesto,https://api.github.com/repos/nalmeida/modesto/events,https://api.github.com/repos/nalmeida/modesto/assignees{/user},https://api.github.com/repos/nalmeida/modesto/branches{/branch},https://api.github.com/repos/nalmeida/modesto/tags,https://api.github.com/repos/nalmeida/modesto/languages,https://api.github.com/repos/nalmeida/modesto/stargazers,https://api.github.com/repos/nalmeida/modesto/contributors,https://api.github.com/repos/nalmeida/modesto/subscribers,https://api.github.com/repos/nalmeida/modesto/subscription,https://api.github.com/repos/nalmeida/modesto/merges,https://api.github.com/repos/nalmeida/modesto/downloads,https://api.github.com/repos/nalmeida/modesto/deployments,2020-05-18T17:59:02Z,2025-07-29T17:54:55Z,2025-07-29T17:56:02Z,336.0,6.0,HTML,True,True,True,True,False,False,0.0,,False,False,21.0,False,[],0.0,21.0,6.0,master,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,52.0,2
ssbeefeater/ssi-modal,https://github.com/ssbeefeater/ssi-modal,ssi-modal is the most flexible and powerful modal window.,False,https://api.github.com/repos/ssbeefeater/ssi-modal,https://api.github.com/repos/ssbeefeater/ssi-modal/events,https://api.github.com/repos/ssbeefeater/ssi-modal/assignees{/user},https://api.github.com/repos/ssbeefeater/ssi-modal/branches{/branch},https://api.github.com/repos/ssbeefeater/ssi-modal/tags,https://api.github.com/repos/ssbeefeater/ssi-modal/languages,https://api.github.com/repos/ssbeefeater/ssi-modal/stargazers,https://api.github.com/repos/ssbeefeater/ssi-modal/contributors,https://api.github.com/repos/ssbeefeater/ssi-modal/subscribers,https://api.github.com/repos/ssbeefeater/ssi-modal/subscription,https://api.github.com/repos/ssbeefeater/ssi-modal/merges,https://api.github.com/repos/ssbeefeater/ssi-modal/downloads,https://api.github.com/repos/ssbeefeater/ssi-modal/deployments,2016-04-12T11:21:59Z,2025-09-02T12:43:48Z,2025-09-02T12:43:50Z,2210.0,26.0,JavaScript,True,True,True,True,False,False,14.0,,False,False,1.0,False,[],14.0,1.0,26.0,master,14.0,4.0,,,,,,,,,,,,,,,,,,,,,,,83.0,4
nyris/nyris-webapp,https://github.com/nyris/nyris-webapp,Web App for nyris visual search demonstrations. See https://docs.nyris.io,False,https://api.github.com/repos/nyris/nyris-webapp,https://api.github.com/repos/nyris/nyris-webapp/events,https://api.github.com/repos/nyris/nyris-webapp/assignees{/user},https://api.github.com/repos/nyris/nyris-webapp/branches{/branch},https://api.github.com/repos/nyris/nyris-webapp/tags,https://api.github.com/repos/nyris/nyris-webapp/languages,https://api.github.com/repos/nyris/nyris-webapp/stargazers,https://api.github.com/repos/nyris/nyris-webapp/contributors,https://api.github.com/repos/nyris/nyris-webapp/subscribers,https://api.github.com/repos/nyris/nyris-webapp/subscription,https://api.github.com/repos/nyris/nyris-webapp/merges,https://api.github.com/repos/nyris/nyris-webapp/downloads,https://api.github.com/repos/nyris/nyris-webapp/deployments,2019-11-26T10:37:28Z,2025-11-07T13:34:31Z,2025-11-07T13:34:26Z,91674.0,2.0,TypeScript,True,False,True,False,False,False,1.0,,False,False,2.0,False,"['nyris', 'search', 'visual-search', 'webapp']",1.0,2.0,2.0,main,1.0,3.0,nyris,30417896.0,MDEyOk9yZ2FuaXphdGlvbjMwNDE3ODk2,https://avatars.githubusercontent.com/u/30417896?v=4,,https://api.github.com/users/nyris,https://github.com/nyris,https://api.github.com/users/nyris/followers,https://api.github.com/users/nyris/following{/other_user},https://api.github.com/users/nyris/gists{/gist_id},https://api.github.com/users/nyris/starred{/owner}{/repo},https://api.github.com/users/nyris/subscriptions,https://api.github.com/users/nyris/orgs,https://api.github.com/users/nyris/repos,https://api.github.com/users/nyris/events{/privacy},https://api.github.com/users/nyris/received_events,Organization,public,False,,,,1479.0,8
